Titre,Démarrage,Entrées totales,Réalisateur,moyenne_fr_realisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire,film_id,realisateur_id,rang,titre_vo,annee,entrees,salles,moy_salle,part_marche,affiche,acteurs,moyennes_individuelles_acteurs,max_moyenne,moyennebestactors
pirouette et le sapin de noël,2632.0,107515,,,France,Animation,2019-11-20,Tous publics,KMBO,0,2,18.0,,,19949,,9601,,2019,2632,317,8,2  %,cinema/images/posters/19949-20191221111901.jpg,,,,
les tortues,2545.0,3609,,,Belgique,Drame,2024-05-15,Tous publics,-,0,0,,Oliver Gourmet,,23770,,H.C.,,2024,2545,39,65,71  %,cinema/images/posters/A-2024-23770-20240511085013.jpg,"[{'id': '997', 'name': 'Oliver Gourmet', 'role': 'Rôle principal', 'character': ''}]","[{'name': 'Oliver Gourmet', 'moyenne': 462258}]",462258.0,462258.0
country strong,2550.0,2550,,,Etats-Unis,Musical,2011-05-04,Tous publics,Sony Pictures,0,0,,Gwyneth Paltrow,,11774,,H.C.,,2011,2550,11,232,100  %,cinema/images/posters/11774-20101127121136.png,"[{'id': '151', 'name': 'Gwyneth Paltrow', 'role': 'Rôle principal', 'character': 'Kelly Canter'}]","[{'name': 'Gwyneth Paltrow', 'moyenne': 1178753}]",1178753.0,1178753.0
"d-day, normandie 1944",2774.0,67709,,,France,Documentaire,2014-04-02,Tous publics,Géode,0,0,,,,14379,,9578,,2014,2774,1,2774,4  %,cinema/images/posters/14379-20140517115047-0.jpg,,,,
the fog of war,2834.0,9365,,,Etats-Unis,Documentaire,2004-01-14,Tous publics,Columbia,0,0,,,,1669,,H.C.,,2004,2834,1,2834,30  %,cinema/images/posters/fogofwar.jpg,,,,
de l’or pour les chiens,2612.0,3066,,,France,Romance,2021-06-30,Tous publics,Rezo Films,0,0,,,Julie Depardieu,21241,,H.C.,,2021,2612,26,100,85  %,cinema/images/posters/21241-20210703124410-0.jpg,"[{'id': '632', 'name': 'Julie Depardieu', 'role': 'Second rôle', 'character': ""La mère d'Esther""}]","[{'name': 'Julie Depardieu', 'moyenne': 521295}]",521295.0,521295.0
krampus,2639.0,2764,,,Etats-Unis,Fantasy,2016-05-04,Tous publics,Universal,0,0,,,Toni Collette,15506,,H.C.,,2016,2639,34,78,95  %,cinema/images/posters/15506-20160503062602-0.jpg,"[{'id': '339', 'name': 'Toni Collette', 'role': 'Second rôle', 'character': 'Sarah'}]","[{'name': 'Toni Collette', 'moyenne': 623989}]",623989.0,623989.0
mission régénération,2642.0,4671,,,Etats-Unis,Documentaire,2022-11-09,Tous publics,-,0,0,,,Patricia Arquette,22450,,H.C.,,2022,2642,13,203,57  %,cinema/images/posters/22450-20221105091146.jpg,"[{'id': '27', 'name': 'Patricia Arquette', 'role': 'Second rôle', 'character': 'Elle-même'}, {'id': '361', 'name': 'Woody Harrelson', 'role': 'Voix-off', 'character': 'Le narrateur'}]","[{'name': 'Patricia Arquette', 'moyenne': 189545}, {'name': 'Woody Harrelson', 'moyenne': 856816}]",856816.0,523180.5
inspecteur sun et la malédiction de la veuve noire,2895.0,15242,,,Espagne,Animation,2023-12-20,Tous publics,Alba Longa,0,0,,,,22795,,H.C.,,2023,2895,95,30,19  %,cinema/images/posters/A-2022-22795-20231118125431.jpg,,,,
les intrus,2905.0,3146,,,Etats-Unis,Horreur,2009-06-10,Tous publics,Paramount,0,0,,,,10636,,H.C.,,2009,2905,9,323,92  %,cinema/images/posters/np_10636.jpg,,,,
on arrive quand?,2760.0,3495,Brian Levant,599551.0,Etats-Unis,Film familial,2005-07-27,Tous publics,Gaumont Sony,0,0,,Ice Cube,,977,670.0,H.C.,Are We There Yet?,2005,2760,4,690,79  %,cinema/images/posters/areweyet.jpg,"[{'id': '426', 'name': 'Ice Cube', 'role': 'Rôle principal', 'character': 'Nick Persons'}]","[{'name': 'Ice Cube', 'moyenne': 269849}]",269849.0,269849.0
berlin alexanderplatz,2908.0,4858,,,Allemagne,Drame,2021-08-11,Tous publics,Le Pacte,0,0,,,,20782,,H.C.,,2021,2908,49,59,60  %,cinema/images/posters/20782-20210806054256-0.jpg,,,,
"new délire, les aventures d'un indien dans le show-biz",2851.0,2851,,,France,Comédie,2007-07-04,Tous publics,Cineteve Distribution,0,0,,Pascal Legitimus,,9707,,H.C.,,2007,2851,35,81,100  %,cinema/images/posters/p_5372.jpg,"[{'id': '469', 'name': 'Pascal Legitimus', 'role': 'Rôle principal', 'character': ''}]","[{'name': 'Pascal Legitimus', 'moyenne': 966372}]",966372.0,966372.0
#effets spéciaux (rep. 2005),,140713,,,Etats-Unis,Documentaire,2005-10-19,Tous publics,Géode,0,0,,,,11889,,9575,,2005,2946,1,2946,2  %,cinema/images/posters/effetsspeciaux.jpg,,,,
j'arrête quand je veux,2963.0,6256,,,Italie,Comédie dramatique,2014-08-06,Tous publics,Bellissima Films,0,0,,,,14370,,H.C.,,2014,2963,19,156,47  %,cinema/images/posters/14370-20140818031159-0.jpg,,,,
biker boyz,2863.0,2984,,,Etats-Unis,Aventure - Action,2003-07-30,Tous publics,UIP,0,0,,Laurence Fishburne,,1679,,H.C.,,2003,2863,49,58,96  %,cinema/images/posters/bikerboyz.jpg,"[{'id': '235', 'name': 'Laurence Fishburne', 'role': 'Rôle principal', 'character': ''}]","[{'name': 'Laurence Fishburne', 'moyenne': 1005574}]",1005574.0,1005574.0
dans ses rêves,2876.0,4769,,,Etats-Unis,Comédie,2009-09-30,Tous publics,Paramount,0,0,,Eddie Murphy,,10285,,H.C.,,2009,2876,9,320,60  %,cinema/images/posters/10285-20090909090932.jpg,"[{'id': '124', 'name': 'Eddie Murphy', 'role': 'Rôle principal', 'character': 'Evan'}]","[{'name': 'Eddie Murphy', 'moyenne': 816763}]",816763.0,816763.0
le potager de mon grand-père,2963.0,57233,,,France,Documentaire,2016-04-20,Tous publics,-,0,0,,,,15902,,9574,,2016,2963,16,185,5  %,cinema/images/posters/15902-20160618032535-0.jpg,,,,
l'eau et les hommes,2975.0,399306,,,France,Documentaire,2000-01-26,Tous publics,Géode,0,0,,,,2481,,9573,,2000,2975,1,2975,1  %,cinema/images/posters/eauhommes.jpg,,,,
bruiser,2877.0,3993,George A. Romero,255364.0,Canada,Horreur,2002-07-24,Moins de 12 ans,Mars Distribution,0,0,,,,10334,552.0,H.C.,Bruiser,2002,2877,7,411,72  %,cinema/images/posters/np_10334.PNG,,,,
marcel le père noël et le petit livreur de pizzas,3072.0,39556,,,France,Animation,2024-11-20,Tous publics,Cinema Public,0,0,,,,24317,,9549,,2024,3072,30,102,8  %,cinema/images/posters/A-2024-24317-20241228114425.jpg,,,,
#apocalypse now (final cut),,31458,Francis F. Coppola,807257.0,Etats-Unis,Guerre,2019-08-21,Tous publics,AMLF,0,0,,,"Marlon Brando, Laurence Fishburne",19757,132.0,9577,#Apocalypse Now (Final Cut),2019,2906,13,224,9  %,cinema/images/posters/19757-20191026110705-0.jpg,"[{'id': '741', 'name': 'Marlon Brando', 'role': 'Second rôle', 'character': ''}, {'id': '235', 'name': 'Laurence Fishburne', 'role': 'Second rôle', 'character': ''}, {'id': '157', 'name': 'Harrison Ford', 'role': 'Apparition', 'character': 'Colonel Lucas'}]","[{'name': 'Marlon Brando', 'moyenne': 1329311}, {'name': 'Laurence Fishburne', 'moyenne': 1005574}, {'name': 'Harrison Ford', 'moyenne': 1550190}]",1550190.0,1295025.0
rose et cassandra,2941.0,4439,,,Grande-Bretagne,Comédie,2005-08-03,Tous publics,Pretty Pictures,0,0,,Rose Byrne,Henry Cavill,18003,,H.C.,,2005,2941,4,735,66  %,cinema/images/posters/nophoto.jpg,"[{'id': '854', 'name': 'Rose Byrne', 'role': 'Rôle principal', 'character': 'Rose Mortmain'}, {'id': '856', 'name': 'Henry Cavill', 'role': 'Second rôle', 'character': 'Stephen Colley'}]","[{'name': 'Rose Byrne', 'moyenne': 874493}, {'name': 'Henry Cavill', 'moyenne': 1079663}]",1079663.0,977078.0
oceanosaures 3d: voyage au temps des dinosaures,3115.0,425480,,,France,Documentaire,2011-02-02,Tous publics,Géode,0,0,,,,12161,,9548,,2011,3115,1,3115,1  %,cinema/images/posters/12161-20110430100444.jpg,,,,
pat et mat : un dernier tour de vis,3137.0,45332,,,Rép. Tchèque,Animation,2024-09-18,Tous publics,Cinema Public,0,0,,,,24128,,9547,,2024,3137,100,31,7  %,cinema/images/posters/A-2024-24128-20241102125114.jpg,,,,
tickets,3050.0,9515,Ken Loach,360116.0,Italie,Comédie,2007-11-28,Tous publics,Cinema Public,0,0,,,,9900,457.0,H.C.,Tickets,2007,3050,20,153,32  %,cinema/images/posters/np_9900.jpg,,,,
some voices,3054.0,6288,,,Grande-Bretagne,Comédie dramatique,2001-08-01,Tous publics,ID Distribution,0,0,,Daniel Craig,,2330,,H.C.,,2001,3054,9,339,49  %,cinema/images/posters/2330-20100820090820.jpg,"[{'id': '104', 'name': 'Daniel Craig', 'role': 'Rôle principal', 'character': 'Ray'}]","[{'name': 'Daniel Craig', 'moyenne': 1176613}]",1176613.0,1176613.0
etre prof,3071.0,8309,,,France,Documentaire,2022-10-05,Tous publics,Gébéka,0,0,,,,22325,,H.C.,,2022,3071,58,53,37  %,cinema/images/posters/22325-20221001042607-0.jpg,"[{'id': '230', 'name': 'Karin Viard', 'role': 'Voix-off', 'character': 'La narratrice'}]","[{'name': 'Karin Viard', 'moyenne': 684440}]",684440.0,684440.0
un amour sans fin,3188.0,3721,,,Etats-Unis,Romance,2014-06-11,Tous publics,Universal,0,0,,,,14045,,H.C.,,2014,3188,37,86,86  %,cinema/images/posters/14045-20140608095755-0.jpg,,,,
centurion,3104.0,3963,,,Grande-Bretagne,Péplum,2010-07-07,Moins de 12 ans,Pathé,0,0,,Michael Fassbender,,13040,,H.C.,,2010,3104,7,443,78  %,cinema/images/posters/13040-20120930070906.jpg,"[{'id': '789', 'name': 'Michael Fassbender', 'role': 'Rôle principal', 'character': 'Quintus Dias'}]","[{'name': 'Michael Fassbender', 'moyenne': 816691}]",816691.0,816691.0
la vie de château (2021),3190.0,32872,,,France,Animation,2021-09-08,Tous publics,Gébéka,0,0,,,,21586,,9545,,2021,3190,85,38,10  %,cinema/images/posters/21586-20211211110411.jpg,,,,
les enfants invisibles,3105.0,4085,John Woo,620417.0,Italie,Drame,2009-05-20,Tous publics,Acte Films,0,0,,,,10764,217.0,H.C.,All the Invisible Children,2009,3105,18,173,76  %,cinema/images/posters/np_10764.jpg,,,,
ladygrey,3117.0,5878,,,France,Drame,2015-05-06,Tous publics,Rezo Films,0,0,,Jérémy Renier,,15204,,H.C.,,2015,3117,13,240,53  %,cinema/images/posters/15204-20150504052708-0.jpg,"[{'id': '775', 'name': 'Jérémy Renier', 'role': 'Rôle principal', 'character': 'Mattis'}]","[{'name': 'Jérémy Renier', 'moyenne': 391891}]",391891.0,391891.0
o grande circo místico,3133.0,4335,,,Brésil,Comédie dramatique,2018-08-22,Tous publics,Bodega Films,0,0,,,Vincent Cassel,18357,,H.C.,,2018,3133,36,87,72  %,cinema/images/posters/18357-20180820055026-0.jpg,"[{'id': '349', 'name': 'Vincent Cassel', 'role': 'Second rôle', 'character': 'Jean-Paul'}]","[{'name': 'Vincent Cassel', 'moyenne': 940708}]",940708.0,940708.0
sugarland,3139.0,48223,,,Australie,Documentaire,2018-01-24,Tous publics,-,0,0,,,,17765,,9546,,2018,3139,5,628,7  %,cinema/images/posters/17765-20180122114724-0.jpg,"[{'id': '160', 'name': 'Hugh Jackman', 'role': 'Apparition', 'character': 'Lui-même'}]","[{'name': 'Hugh Jackman', 'moyenne': 1204170}]",1204170.0,1204170.0
#coraline 15ème anniversaire,,4115,,,Etats-Unis,Animation,2024-11-06,Tous publics,-,0,0,,,,23948,,H.C.,,2024,3167,16,198,77  %,cinema/images/posters/A-2024-23948-20241102124107.jpg,"[{'id': '386', 'name': 'Dakota Fanning', 'role': 'Voix-off', 'character': 'Coraline Jones'}]","[{'name': 'Dakota Fanning', 'moyenne': 1011257}]",1011257.0,1011257.0
"vous êtes jeunes, vous êtes beaux",3176.0,4986,,,France,Drame,2019-10-02,Tous publics,-,0,0,,Josiane Balasko,,19469,,H.C.,,2019,3176,51,62,64  %,cinema/images/posters/19469-20190928111238-0.jpg,"[{'id': '171', 'name': 'Josiane Balasko', 'role': 'Rôle principal', 'character': 'Mona'}]","[{'name': 'Josiane Balasko', 'moyenne': 955503}]",955503.0,955503.0
saturno contro,3416.0,3567,,,Italie,Drame,2008-07-09,Tous publics,UGC Distribution,0,0,,,,9780,,H.C.,,2008,3416,3,1139,96  %,cinema/images/posters/np_9780.jpg,,,,
sacro gra,3421.0,5512,,,Italie,Documentaire,2014-03-26,Tous publics,Alfama Films,0,0,,,,16749,,H.C.,,2014,3421,19,180,62  %,cinema/images/posters/16749-20170130071115-0.jpg,,,,
il faut sauver noël,3421.0,105929,,,Pologne,Animation,2024-11-20,Tous publics,Films du Préau,0,1,19.0,,,24228,,9515,,2024,3421,62,55,3  %,cinema/images/posters/A-2024-24228-20241214122147.jpg,,,,
dear frankie,3195.0,4514,,,Etats-Unis,Drame,2005-03-16,Tous publics,Pathé,0,0,,Gerard Butler,,10965,,H.C.,,2005,3195,25,128,71  %,cinema/images/posters/10965-20090909030925.jpg,"[{'id': '539', 'name': 'Gerard Butler', 'role': 'Rôle principal', 'character': ""L'étranger""}]","[{'name': 'Gerard Butler', 'moyenne': 497458}]",497458.0,497458.0
#le seigneur des anneaux : la communauté de l'anneau (v.,,3541,Peter Jackson,2102849.0,Etats-Unis,Fantasy,2024-09-04,Tous publics,Warner Bros.,0,0,,"Ian McKellen, Viggo Mortensen, Elijah Wood","Cate Blanchett, Orlando Bloom, Liv Tyler",23820,281.0,H.C.,The Lord of the Rings: The Fellowship of the Ring (Rep.,2024,3316,17,195,94  %,cinema/images/posters/A-2024-23820-20240831112111.jpg,"[{'id': '166', 'name': 'Ian McKellen', 'role': 'Rôle principal', 'character': 'Gandalf'}, {'id': '355', 'name': 'Viggo Mortensen', 'role': 'Rôle principal', 'character': 'Aragorn'}, {'id': '128', 'name': 'Elijah Wood', 'role': 'Rôle principal', 'character': ''}, {'id': '51', 'name': 'Cate Blanchett', 'role': 'Second rôle', 'character': 'Galadriel'}, {'id': '276', 'name': 'Orlando Bloom', 'role': 'Second rôle', 'character': 'Legolas'}, {'id': '239', 'name': 'Liv Tyler', 'role': 'Second rôle', 'character': 'Arwen'}]","[{'name': 'Ian McKellen', 'moyenne': 1843143}, {'name': 'Viggo Mortensen', 'moyenne': 860544}, {'name': 'Elijah Wood', 'moyenne': 1225316}, {'name': 'Cate Blanchett', 'moyenne': 1298132}, {'name': 'Orlando Bloom', 'moyenne': 2423195}, {'name': 'Liv Tyler', 'moyenne': 1353528}]",2423195.0,1873288.6666666667
12 rounds,3321.0,6071,Renny Harlin,528568.0,Etats-Unis,Aventure - Action,2009-08-26,Tous publics,20th Century Fox,0,0,,,,10729,302.0,H.C.,12 Rounds,2009,3321,11,302,55  %,cinema/images/posters/10729-20090703090732.jpg,,,,
la maison nucingen,3380.0,4298,,,France,Drame,2009-06-03,Tous publics,Zelig Films,0,0,,"Jean-Marc Barr, Elsa Zylberstein",,10833,,H.C.,,2009,3380,16,211,79  %,cinema/images/posters/np_10833.jpg,"[{'id': '466', 'name': 'Jean-Marc Barr', 'role': 'Rôle principal', 'character': 'William Henry James III'}, {'id': '923', 'name': 'Elsa Zylberstein', 'role': 'Rôle principal', 'character': 'Anne-Marie'}]","[{'name': 'Jean-Marc Barr', 'moyenne': 538378}, {'name': 'Elsa Zylberstein', 'moyenne': 352459}]",538378.0,445418.5
des plans sur la comète,3402.0,4602,,,France,Comédie,2017-06-21,Tous publics,Jour2Fête,0,0,,Vincent Macaigne,,23437,,H.C.,,2017,3402,0,0,74  %,cinema/images/posters/A-2017-23437-20231222035844.jpg,"[{'id': '1047', 'name': 'Vincent Macaigne', 'role': 'Rôle principal', 'character': 'Franck'}]","[{'name': 'Vincent Macaigne', 'moyenne': 200313}]",200313.0,200313.0
young adam,3413.0,9376,,,Grande-Bretagne,Drame,2004-04-21,Tous publics,Vision Distribution,0,0,,Ewan McGregor,,1308,,H.C.,,2004,3413,0,0,36  %,cinema/images/posters/youngadam.jpg,"[{'id': '123', 'name': 'Ewan McGregor', 'role': 'Rôle principal', 'character': ''}]","[{'name': 'Ewan McGregor', 'moyenne': 841258}]",841258.0,841258.0
trop belle !,3493.0,3493,,,Etats-Unis,Comédie,2010-06-23,Tous publics,Paramount,0,0,,,,11197,,H.C.,,2010,3493,10,349,100  %,cinema/images/posters/11197-20100505080505.jpg,,,,
vacances,3438.0,4036,,,France,Thriller,2022-09-28,Tous publics,Paname Distribution,0,0,,Géraldine Nakache,,22291,,H.C.,,2022,3438,70,49,85  %,cinema/images/posters/22291-20220828035520-0.jpg,"[{'id': '833', 'name': 'Géraldine Nakache', 'role': 'Rôle principal', 'character': 'Marie'}]","[{'name': 'Géraldine Nakache', 'moyenne': 773623}]",773623.0,773623.0
géants des profondeurs,,347963,,,Etats-Unis,Documentaire,2008-03-19,Tous publics,Géode,0,0,,,,9918,,9514,,2008,3441,1,3441,1  %,cinema/images/posters/p_5610.jpg,"[{'id': '861', 'name': 'Liev Schreiber', 'role': 'Voix-off', 'character': 'Le Narrateur'}]","[{'name': 'Liev Schreiber', 'moyenne': 599554}]",599554.0,599554.0
under the sea 3d,3452.0,267860,,,Etats-Unis,Documentaire,2013-04-10,Tous publics,Géode,0,0,,,,10714,,9513,,2013,3452,1,3452,1  %,cinema/images/posters/10714-20130218090207.jpg,"[{'id': '175', 'name': 'Jim Carrey', 'role': 'Voix-off', 'character': 'le narrateur'}]","[{'name': 'Jim Carrey', 'moyenne': 1069940}]",1069940.0,1069940.0
"moi, van gogh",3459.0,33253,,,France,Documentaire,2009-03-25,Tous publics,Géode,0,0,,,,10718,,9512,,2009,3459,1,3459,10  %,cinema/images/posters/np_10718.jpg,"[{'id': '551', 'name': 'Jacques Gamblin', 'role': 'Voix-off', 'character': 'Vincent Van Gogh'}]","[{'name': 'Jacques Gamblin', 'moyenne': 531381}]",531381.0,531381.0
dead silence,3460.0,3646,James Wan,1299940.0,Etats-Unis,Horreur,2007-11-21,Moins de 12 ans,Paramount,0,0,,,,233,816.0,H.C.,Dead Silence,2007,3460,20,173,95  %,cinema/images/posters/np_233.jpg,,,,
12,3562.0,8203,,,Russie,Thriller,2010-02-10,Tous publics,Kinovista,0,0,,,,10170,,H.C.,,2010,3562,10,356,43  %,cinema/images/posters/10170-20100125090124.jpg,,,,
amore mio,3469.0,3870,,,France,Drame,2023-02-01,Tous publics,-,0,0,,Elodie Bouchez,,22524,,H.C.,,2023,3469,5,694,90  %,cinema/images/posters/22524-20221127084353-0.jpg,"[{'id': '435', 'name': 'Elodie Bouchez', 'role': 'Rôle principal', 'character': 'Margaux'}]","[{'name': 'Elodie Bouchez', 'moyenne': 480544}]",480544.0,480544.0
visage,3487.0,4954,,,France,Comédie dramatique,2009-11-04,Tous publics,Rezo Films,0,0,,Mathieu Amalric,"Fanny Ardant, Nathalie Baye",11032,,H.C.,,2009,3487,15,232,70  %,cinema/images/posters/11032-20091102091117.jpg,"[{'id': '630', 'name': 'Mathieu Amalric', 'role': 'Rôle principal', 'character': ""L'homme du fourré""}, {'id': '129', 'name': 'Fanny Ardant', 'role': 'Second rôle', 'character': 'La Producteur / La Reine Héroidas'}, {'id': '270', 'name': 'Nathalie Baye', 'role': 'Second rôle', 'character': 'Actrice'}]","[{'name': 'Mathieu Amalric', 'moyenne': 468160}, {'name': 'Fanny Ardant', 'moyenne': 536818}, {'name': 'Nathalie Baye', 'moyenne': 738247}]",738247.0,581075.0
double foyer,3551.0,3788,,,France,Comédie dramatique,2024-02-21,Tous publics,Nour Films,0,0,,Emilie Dequenne,,23586,,H.C.,,2024,3551,25,142,94  %,cinema/images/posters/A-2024-23586-20240217062026.jpg,"[{'id': '459', 'name': 'Emilie Dequenne', 'role': 'Rôle principal', 'character': 'Lili'}]","[{'name': 'Emilie Dequenne', 'moyenne': 399313}]",399313.0,399313.0
l'attrape-rêves,3554.0,4260,,,Espagne,Drame,2016-10-26,Tous publics,Jour2Fête,0,0,,"Jennifer Connelly, Cillian Murphy",Mélanie Laurent,14149,,H.C.,,2016,3554,17,209,83  %,cinema/images/posters/14149-20140308052935-0.jpg,"[{'id': '870', 'name': 'Jennifer Connelly', 'role': 'Rôle principal', 'character': 'Nana Kunning'}, {'id': '1020', 'name': 'Cillian Murphy', 'role': 'Rôle principal', 'character': 'Ivan'}, {'id': '629', 'name': 'Mélanie Laurent', 'role': 'Second rôle', 'character': 'Jannia Ressmore'}]","[{'name': 'Jennifer Connelly', 'moyenne': 731433}, {'name': 'Cillian Murphy', 'moyenne': 1146354}, {'name': 'Mélanie Laurent', 'moyenne': 737378}]",1146354.0,871721.6666666666
le voyage de tom pouce,3873.0,27707,,,Rép. Tchèque,Animation,2015-09-30,Tous publics,Cinema Public,0,0,,,,15526,,9489,,2015,3873,79,49,14  %,cinema/images/posters/15526-20151108114229-0.jpg,,,,
a la découverte du monde,3908.0,54168,,,France,Animation,2017-09-06,Tous publics,KMBO,0,0,,,,17522,,9488,,2017,3908,70,56,7  %,cinema/images/posters/17522-20171104085637-0.jpg,,,,
20th century boys,3938.0,7818,,,Japon,Aventure - Action,2009-01-14,Tous publics,Eurozoom,0,0,,,,10457,,H.C.,,2009,3938,9,438,50  %,cinema/images/posters/np_10457.jpg,,,,
les fables de monsieur renard,3942.0,48550,,,France,Animation,2015-09-16,Tous publics,KMBO,0,0,,,,15527,,9487,,2015,3942,81,49,8  %,cinema/images/posters/15527-20151108114604-0.jpg,,,,
la cabane à histoires,3965.0,42501,,,France,Animation,2017-05-31,Tous publics,Gébéka,0,0,,,,19212,,9486,,2017,3965,51,78,9  %,cinema/images/posters/19212-20190411111450.jpg,,,,
tenacious d: the pick of destiny,3563.0,3563,,,Etats-Unis,Comédie,2007-07-04,Tous publics,Metropolitan,0,0,,Jack Black,,613,,H.C.,,2007,3563,23,155,100  %,cinema/images/posters/p_369.jpg,"[{'id': '50', 'name': 'Jack Black', 'role': 'Rôle principal', 'character': 'JB'}, {'id': '815', 'name': 'Amy Adams', 'role': 'Apparition', 'character': 'La sublime femme'}, {'id': '842', 'name': 'Jason Segel', 'role': 'Apparition', 'character': 'Garçon de la fraternité'}, {'id': '63', 'name': 'Ben Stiller', 'role': 'Apparition', 'character': 'Le vendeur de guitare'}, {'id': '345', 'name': 'Tim Robbins', 'role': 'Apparition', 'character': ""L'Etranger""}]","[{'name': 'Jack Black', 'moyenne': 747587}, {'name': 'Amy Adams', 'moyenne': 756591}, {'name': 'Jason Segel', 'moyenne': 224009}, {'name': 'Ben Stiller', 'moyenne': 639733}, {'name': 'Tim Robbins', 'moyenne': 476231}]",756591.0,714637.0
les merveilleux contes de la neige,3970.0,139521,,,Grande-Bretagne,Animation,2014-11-19,Tous publics,KMBO,0,3,16.0,,,14917,,9485,,2014,3970,41,97,3  %,cinema/images/posters/14917-20141210085017-0.jpg,,,,
rampart,3764.0,4588,,,Etats-Unis,Thriller,2013-07-03,Tous publics,Metropolitan,0,0,,Woody Harrelson,"Steve Buscemi, Anne Heche, Ice Cube, Sigourney Weaver, Robin Wright",12686,,H.C.,,2013,3764,4,941,82  %,cinema/images/posters/12686-20130414120425.jpg,"[{'id': '361', 'name': 'Woody Harrelson', 'role': 'Rôle principal', 'character': 'Dave Brown'}, {'id': '66', 'name': 'Steve Buscemi', 'role': 'Second rôle', 'character': 'Bill Blago'}, {'id': '12', 'name': 'Anne Heche', 'role': 'Second rôle', 'character': 'Catherine'}, {'id': '426', 'name': 'Ice Cube', 'role': 'Second rôle', 'character': 'Kyle Timkins'}, {'id': '336', 'name': 'Sigourney Weaver', 'role': 'Second rôle', 'character': 'Joan Confrey'}, {'id': '453', 'name': 'Robin Wright', 'role': 'Second rôle', 'character': 'Linda Fentress'}]","[{'name': 'Woody Harrelson', 'moyenne': 856816}, {'name': 'Steve Buscemi', 'moyenne': 379073}, {'name': 'Anne Heche', 'moyenne': 392062}, {'name': 'Ice Cube', 'moyenne': 269849}, {'name': 'Sigourney Weaver', 'moyenne': 1349798}, {'name': 'Robin Wright', 'moyenne': 666646}]",1349798.0,957753.3333333334
une surprise pour noël,3980.0,129868,,,Canada,Animation,2015-11-25,Tous publics,Films du Préau,0,2,15.0,,,15586,,9484,,2015,3980,56,71,3  %,cinema/images/posters/15586-20151219065152-0.jpg,,,,
the warriors gate,3844.0,4528,,,Chine,Aventure - Action,2017-03-22,Tous publics,EuropaCorp,0,0,,,,18380,,H.C.,,2017,3844,14,275,85  %,cinema/images/posters/18380-20180901060645.jpg,,,,
hénaut président,3854.0,4739,,,France,Comédie,2012-03-21,Tous publics,CTV International,0,0,,Oliver Gourmet,,18011,,H.C.,,2012,3854,55,70,81  %,cinema/images/posters/18011-20211005104633.jpg,"[{'id': '997', 'name': 'Oliver Gourmet', 'role': 'Rôle principal', 'character': 'Thierry Giovanni'}]","[{'name': 'Oliver Gourmet', 'moyenne': 462258}]",462258.0,462258.0
"synecdoche, new york",3869.0,5747,,,Etats-Unis,Comédie dramatique,2009-04-01,Tous publics,Océan Films,0,0,,Philip Seymour Hoffman,,10408,,H.C.,,2009,3869,22,176,67  %,cinema/images/posters/np_10408.jpg,"[{'id': '285', 'name': 'Philip Seymour Hoffman', 'role': 'Rôle principal', 'character': 'Caden Cotard'}]","[{'name': 'Philip Seymour Hoffman', 'moyenne': 633872}]",633872.0,633872.0
fan,4000.0,4960,,,Inde,Thriller,2016-04-15,Tous publics,Aana Films,0,0,,,,15850,,H.C.,,2016,4000,40,100,81  %,cinema/images/posters/15850-20160507011835-0.jpg,,,,
papa lumière,3875.0,5128,,,France,Comédie dramatique,2015-07-29,Tous publics,Le Pacte,0,0,,Niels Arestrup,,15346,,H.C.,,2015,3875,21,185,76  %,cinema/images/posters/15346-20150719015617-0.jpg,"[{'id': '830', 'name': 'Niels Arestrup', 'role': 'Rôle principal', 'character': 'Jacques'}]","[{'name': 'Niels Arestrup', 'moyenne': 559184}]",559184.0,559184.0
debout,4093.0,30987,,,France,Documentaire,2019-04-24,Tous publics,Septième Factory,0,0,,,,21623,,9455,,2019,4093,24,171,13  %,cinema/images/posters/21623-20211219111443.jpg,,,,
le roi et le clown,4094.0,20400,,,Corée du Sud,,2008-01-23,Tous publics,Equation,0,0,,,,20779,,H.C.,,2008,4094,7,585,20  %,cinema/images/posters/20779-20200922103024.jpg,,,,
anina,4144.0,61122,,,Colombie,Animation,2015-09-30,Tous publics,Septième Factory,0,0,,,,15523,,9454,,2015,4144,63,66,7  %,cinema/images/posters/15523-20151108113241-0.jpg,,,,
camera kids,4206.0,20758,,,Etats-Unis,Documentaire,2005-11-16,Tous publics,Novocine,0,0,,,,1293,,H.C.,,2005,4206,18,234,20  %,cinema/images/posters/bornbrothels.jpg,,,,
cadences obstinées,3990.0,4150,,,France,Drame,2014-01-08,Tous publics,Alfama Films,0,0,,,Gérard Depardieu,13989,,H.C.,,2014,3990,25,160,96  %,cinema/images/posters/13989-20140106102646-0.jpg,"[{'id': '142', 'name': 'Gérard Depardieu', 'role': 'Second rôle', 'character': 'Le Père Villedieu'}]","[{'name': 'Gérard Depardieu', 'moyenne': 1310040}]",1310040.0,1310040.0
the place,4234.0,4726,,,Italie,Comédie dramatique,2019-01-30,Tous publics,Bodega Films,0,0,,,,17615,,H.C.,,2019,4234,136,31,90  %,cinema/images/posters/17615-20190125085721-0.jpg,,,,
