Titre,Démarrage,Entrées totales,Réalisateur,moyenne_fr_realisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire,film_id,realisateur_id,rang,titre_vo,annee,entrees,salles,moy_salle,part_marche,affiche,acteurs,moyennes_individuelles_acteurs,max_moyenne,moyennebestactors
jason bourne : l'héritage,485799.0,950724,,,Etats-Unis,Aventure - Action,2012-09-19,Tous publics,Universal,1,5,1.0,Jeremy Renner,"Edward Norton, Rachel Weisz",11719,,903,,2012,485799,580,838,51  %,cinema/images/posters/11719-20120722100716.jpg,"[{'id': '782', 'name': 'Jeremy Renner', 'role': 'Rôle principal', 'character': 'Aaron Cross'}, {'id': '125', 'name': 'Edward Norton', 'role': 'Second rôle', 'character': 'Byer'}, {'id': '310', 'name': 'Rachel Weisz', 'role': 'Second rôle', 'character': 'Stephanie Snyder'}]","[{'name': 'Jeremy Renner', 'moyenne': 1512114}, {'name': 'Edward Norton', 'moyenne': 668130}, {'name': 'Rachel Weisz', 'moyenne': 500260}]",1512114.0,893501.3333333334
simone - le voyage du siècle,486242.0,2470592,Olivier Dahan,1580194.0,France,Drame,2022-10-12,Tous publics,Warner Bros.,1,14,1.0,Elsa Zylberstein,"Elodie Bouchez, Oliver Gourmet, Sylvie Testud, Philippe Torreton",21469,521.0,902,Simone - Le voyage du siècle,2022,486242,672,724,20  %,cinema/images/posters/21469-20211111084553-0.jpg,"[{'id': '923', 'name': 'Elsa Zylberstein', 'role': 'Rôle principal', 'character': 'Simone Veil (1968 – 2006)'}, {'id': '435', 'name': 'Elodie Bouchez', 'role': 'Second rôle', 'character': 'Yvonne Jacob'}, {'id': '997', 'name': 'Oliver Gourmet', 'role': 'Second rôle', 'character': 'Antoine Veil (1974 – 2006)'}, {'id': '470', 'name': 'Sylvie Testud', 'role': 'Second rôle', 'character': 'Marceline Rozenberg'}, {'id': '286', 'name': 'Philippe Torreton', 'role': 'Second rôle', 'character': 'Jean-Paul Davin'}]","[{'name': 'Elsa Zylberstein', 'moyenne': 352459}, {'name': 'Elodie Bouchez', 'moyenne': 480490}, {'name': 'Oliver Gourmet', 'moyenne': 462258}, {'name': 'Sylvie Testud', 'moyenne': 453379}, {'name': 'Philippe Torreton', 'moyenne': 360439}]",480490.0,465375.6666666667
seul au monde,490635.0,1792436,Robert Zemeckis,1601292.0,Etats-Unis,Drame,2001-01-17,Tous publics,UIP,0,8,2.0,"Tom Hanks, Helen Hunt",,2422,313.0,895,Cast Away,2001,490635,443,1108,27  %,cinema/images/posters/castaway.jpg,"[{'id': '341', 'name': 'Tom Hanks', 'role': 'Rôle principal', 'character': 'Chuck Noland'}, {'id': '122', 'name': 'Helen Hunt', 'role': 'Rôle principal', 'character': 'Kelly Frears'}]","[{'name': 'Tom Hanks', 'moyenne': 1002550}, {'name': 'Helen Hunt', 'moyenne': 770377}]",1002550.0,886463.5
bullet train,491067.0,1560111,,,Etats-Unis,Aventure - Action,2022-08-03,Moins de 12 ans,Sony Pictures,2,9,1.0,Brad Pitt,Sandra Bullock,21350,,894,,2022,491067,786,625,31  %,cinema/images/posters/21350-20220729064950-0.jpg,"[{'id': '56', 'name': 'Brad Pitt', 'role': 'Rôle principal', 'character': 'Ladybug'}, {'id': '65', 'name': 'Sandra Bullock', 'role': 'Second rôle', 'character': 'Maria Beetle'}, {'id': '679', 'name': 'Ryan Reynolds', 'role': 'Apparition', 'character': ''}, {'id': '780', 'name': 'Channing Tatum', 'role': 'Apparition', 'character': ''}]","[{'name': 'Brad Pitt', 'moyenne': 1326866}, {'name': 'Sandra Bullock', 'moyenne': 612196}, {'name': 'Ryan Reynolds', 'moyenne': 855619}, {'name': 'Channing Tatum', 'moyenne': 602867}]",1326866.0,931560.3333333334
astérix et les vikings,491328.0,1374027,,,France,Animation,2006-04-12,Tous publics,SND,0,4,3.0,,,351,,893,,2006,491328,606,811,36  %,cinema/images/posters/asterixvikings.jpg,"[{'id': '232', 'name': 'Lorant Deutsch', 'role': 'Voix-off', 'character': 'Goudurix'}]","[{'name': 'Lorant Deutsch', 'moyenne': 583503}]",583503.0,583503.0
tarzan (2016),492673.0,1374249,David Yates,4621211.0,Etats-Unis,Aventure - Action,2016-07-06,Tous publics,Warner Bros.,0,6,3.0,Margot Robbie,"Samuel L. Jackson, Christoph Waltz",15607,885.0,892,The Legend of Tarzan,2016,492673,535,921,36  %,cinema/images/posters/15607-20160626030514-3.jpg,"[{'id': '1013', 'name': 'Margot Robbie', 'role': 'Rôle principal', 'character': 'Jane'}, {'id': '319', 'name': 'Samuel L. Jackson', 'role': 'Second rôle', 'character': 'George Washington Williams'}, {'id': '845', 'name': 'Christoph Waltz', 'role': 'Second rôle', 'character': 'Capitaine Rom'}]","[{'name': 'Margot Robbie', 'moyenne': 1286424}, {'name': 'Samuel L. Jackson', 'moyenne': 1248160}, {'name': 'Christoph Waltz', 'moyenne': 1411275}]",1411275.0,1315286.3333333333
five nights at freddy's,493993.0,852256,,,Etats-Unis,Horreur,2023-11-08,Moins de 12 ans,Universal,1,4,1.0,,,23237,,890,,2023,493993,331,1492,58  %,cinema/images/posters/A-2023-23237-20231021113035.jpg,,,,
le discours d'un roi,494161.0,3024322,,,Grande-Bretagne,Drame,2011-02-02,Tous publics,Wild Bunch,0,11,2.0,"Colin Firth, Geoffrey Rush","Helena Bonham Carter, Guy Pearce",11744,,889,,2011,494161,260,1901,16  %,cinema/images/posters/11744-20110123090151.jpg,"[{'id': '491', 'name': 'Colin Firth', 'role': 'Rôle principal', 'character': 'George'}, {'id': '407', 'name': 'Geoffrey Rush', 'role': 'Rôle principal', 'character': 'Lionel Logue'}, {'id': '480', 'name': 'Helena Bonham Carter', 'role': 'Second rôle', 'character': 'Reine Elizabeth'}, {'id': '152', 'name': 'Guy Pearce', 'role': 'Second rôle', 'character': 'Edward VIII'}]","[{'name': 'Colin Firth', 'moyenne': 729090}, {'name': 'Geoffrey Rush', 'moyenne': 1255056}, {'name': 'Helena Bonham Carter', 'moyenne': 1875890}, {'name': 'Guy Pearce', 'moyenne': 762043}]",1875890.0,1297663.0
blue jasmine,494375.0,1454894,Woody Allen,915808.0,Etats-Unis,Comédie,2013-09-25,Tous publics,Mars Distribution,1,6,1.0,"Cate Blanchett, Alec Baldwin",,13563,18.0,888,Blue Jasmine,2013,494375,301,1642,34  %,cinema/images/posters/13563-20130620100657.jpg,"[{'id': '51', 'name': 'Cate Blanchett', 'role': 'Rôle principal', 'character': 'Jasmine'}, {'id': '1', 'name': 'Alec Baldwin', 'role': 'Rôle principal', 'character': 'Hal'}]","[{'name': 'Cate Blanchett', 'moyenne': 1298132}, {'name': 'Alec Baldwin', 'moyenne': 683072}]",1298132.0,990602.0
le chat potté 2 : la dernière quête,495040.0,3052609,,,Etats-Unis,Animation,2022-12-07,Tous publics,Universal,1,13,1.0,,,22017,,886,,2022,495040,700,707,16  %,cinema/images/posters/22017-20230308063842.jpg,"[{'id': '36', 'name': 'Antonio Banderas', 'role': 'Voix-off', 'character': 'Chat Potté'}, {'id': '317', 'name': 'Salma Hayek', 'role': 'Voix-off', 'character': 'Kitty Pattes De Velours'}]","[{'name': 'Antonio Banderas', 'moyenne': 649953}, {'name': 'Salma Hayek', 'moyenne': 414951}]",649953.0,532452.0
