bankable acteur,moyenne,cluster
Woody Harrelson,856816.0,0
Philip Seymour Hoffman,633872.0,1
Julianne Moore,577795.0,1
Mark Wahlberg,662645.0,1
Omar Sy,1789989.0,2
Vincent Cassel,940708.0,0
Gérard Lanvin,1086148.0,0
Jennifer Lopez,317439.0,1
Simon Pegg,842401.0,1
- Queen Latifah,315273.0,1
Sean William Scott,678771.0,1
Elie Semoun,1189006.0,0
Brad Pitt,1326866.0,0
Pierre Niney,1213211.0,0
Laurent Lafitte,1030427.0,0
Pierce Brosnan,942816.0,0
Judi Dench,1242217.0,0
Gerard Butler,497458.0,1
Robert Downey Jr,1143031.0,0
Don Cheadle,1447575.0,0
Mickey Rourke,486286.0,1
Samuel L. Jackson,1248160.0,0
Scarlett Johansson,1254402.0,0
Gwyneth Paltrow,1178753.0,0
Sam Rockwell,408805.0,1
Liam Neeson,806132.0,1
Forest Whitaker,681539.0,1
Famke Janssen,1127067.0,0
Bruce Willis,1133115.0,0
Ben Affleck,764532.0,1
Liv Tyler,1352661.0,0
Billy Bob Thornton,402003.0,1
Owen Wilson,683014.0,1
Steve Buscemi,379073.0,1
Charlton Heston,1739324.0,2
Ben Affleck,764532.0,1
Henry Cavill,1079663.0,0
Amy Adams,756591.0,1
