bankable acteur,moyenne
Rosamund Pike,578277.0
- Madonna,713576.0
Jennifer Lawrence,1148487.0
Woody Harrelson,856816.0
Philip Seymour Hoffman,633872.0
George Clooney,965655.0
Brad Pitt,1326866.0
Julia Roberts,1115041.0
Matt Damon,1033919.0
Casey Affleck,933787.0
Don Cheadle,1447575.0
Andy Garcia,632133.0
Viola Davis,823176.0
Leonardo DiCaprio,2167821.0
Tom Hardy,1110186.0
José Garcia,1089910.0
Gérard Lanvin,1086148.0
Benoît Poelvoorde,839930.0
Jamel Debbouze,2206938.0
Omar Sy,1789989.0
Steve Carell,382115.0
Gad Elmaleh,1513226.0
Al Pacino,598263.0
Kristen Wiig,433762.0
Christian Clavier,1940185.0
Gérard Depardieu,1310040.0
Steve Carell,382115.0
Gad Elmaleh,1513226.0
Kristen Wiig,433762.0
Courteney Cox,895261.0
Patrick Dempsey,934333.0
Liev Schreiber,599554.0
Eddie Redmayne,1231262.0
Colin Farrell,647831.0
Ron Perlman,911315.0
Jon Voight,1023670.0
Johnny Depp,1284078.0
Chris Pratt,1973562.0
Bryce Dallas Howard,1928550.0
Jeff Goldblum,984799.0
Steve Carell,382115.0
Jean-Claude Van Damme,713095.0
Chris Pratt,1973562.0
Kurt Russell,993234.0
Sylvester Stallone,1184352.0
Bradley Cooper,849694.0
Vin Diesel,1382126.0
Franck Dubosc,1206610.0
Claude Brasseur,1158423.0
Gérard Jugnot,1106164.0
Michèle Laroque,892896.0
Daniel Craig,1176531.0
Rami Malek,1813517.0
Léa Seydoux,875598.0
Ralph Fiennes,1840717.0
Christoph Waltz,1411275.0
Bruce Willis,1133115.0
Samuel L. Jackson,1248160.0
Robin Wright,666646.0
Jake Gyllenhaal,685892.0
Tom Holland,2643533.0
Samuel L. Jackson,1248160.0
Timothée Chalamet,1192064.0
Javier Bardem,854792.0
Josh Brolin,980209.0
Charlotte Rampling,592823.0
Léa Seydoux,875598.0
Christopher Walken,506535.0
Richard Anconina,1803165.0
Franck Dubosc,1206610.0
Claude Brasseur,1158423.0
Mathilde Seigner,761914.0
James Franco,813821.0
Holly Hunter,504425.0
Samuel L. Jackson,1248160.0
Rowan Atkinson,1647573.0
Burt Reynolds,368335.0
Dany Boon,2401746.0
Will Smith,1839970.0
Kenneth Branagh,1144969.0
Salma Hayek,414951.0
Halle Berry,970738.0
Hugh Jackman,1204170.0
Ian McKellen,1843143.0
Famke Janssen,1127067.0
François Cluzet,936250.0
Marion Cotillard,1384256.0
Gilles Lellouche,898194.0
Benoît Magimel,593227.0
Valérie Bonneton,839651.0
Jean Dujardin,1376846.0
Laurent Lafitte,1030427.0
Cate Blanchett,1298132.0
Gerard Butler,497458.0
Jonah Hill,519499.0
Kristen Wiig,433762.0
Javier Bardem,854792.0
Johnny Depp,1284078.0
Orlando Bloom,2423195.0
Geoffrey Rush,1255056.0
Keira Knightley,1170296.0
,
Elodie Bouchez,480490.0
Clovis Cornillac,812238.0
Jean Dujardin,1376846.0
Alexandra Lamy,759875.0
Sean Connery,1628324.0
Harrison Ford,1549858.0
Chris Pratt,1973562.0
Sylvester Stallone,1184352.0
Bradley Cooper,849694.0
Vin Diesel,1382126.0
Shia LaBeouf,860922.0
Patrick Dempsey,934333.0
John Malkovich,552689.0
Frances McDormand,427092.0
Chris Evans,1737423.0
Robert Downey Jr,1143031.0
Chadwick Boseman,2444599.0
Don Cheadle,1447575.0
Tom Holland,2643533.0
Scarlett Johansson,1254402.0
