Titre,Démarrage,Entrées totales,Réalisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Rang toutes exploitations,Rang général,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire,film_id,realisateur_id,rang,titre,titre_vo,realisateur,genre,annee,pays,entrees,salles,moy_salle,part_marche,affiche,moyenne_fr_realisateur,sortie,distributeur,classification,acteurs,moyennes_individuelles_acteurs
la fête des mères,76125.0,122766,,France,Comédie dramatique,2018-05-23,Tous publics,UGC Distribution,,,0,2,5.0,,Nicole Garcia,18135,,4895,la fête des mères,,,Comédie dramatique,2018,f25,76125,267,285,62  %,cinema/images/posters/18135-20180519052902-0.jpg,,23/05/2018,UGC Distribution,Tous publics,"[{'id': '798', 'name': 'Nicole Garcia', 'role': 'Second rôle', 'character': 'Ariane'}]","[{'name': 'Nicole Garcia', 'moyenne': 625202}]"
vol à haut risque,76183.0,146496,Mel Gibson,Etats-Unis,Thriller,2025-01-22,Tous publics,Metropolitan,,,0,2,10.0,Mark Wahlberg,,23874,383.0,4894,vol à haut risque,Flight Risk,Mel Gibson,Thriller,2025,f23,76183,317,240,52  %,cinema/images/posters/A-2024-23874-20240701061724.jpg,730538.0,22/01/2025,Metropolitan,Tous publics,"[{'id': '269', 'name': 'Mark Wahlberg', 'role': 'Rôle principal', 'character': 'Daryl Booth'}]","[{'name': 'Mark Wahlberg', 'moyenne': 662645}]"
do not disturb,76708.0,111005,Yvan Attal,France,Comédie,2012-10-03,Tous publics,UGC Distribution,,,0,2,9.0,"Yvan Attal, François Cluzet",Charlotte Gainsbourg,12946,944.0,4882,do not disturb,Do Not Disturb,Yvan Attal,Comédie,2012,f25,76708,265,289,69  %,cinema/images/posters/12946-20120816070857.jpg,480969.0,03/10/2012,UGC Distribution,Tous publics,"[{'id': '429', 'name': 'Yvan Attal', 'role': 'Rôle principal', 'character': 'Ben'}, {'id': '130', 'name': 'François Cluzet', 'role': 'Rôle principal', 'character': 'Jeff'}, {'id': '374', 'name': 'Charlotte Gainsbourg', 'role': 'Second rôle', 'character': 'Lilly'}]","[{'name': 'Yvan Attal', 'moyenne': 495954}, {'name': 'François Cluzet', 'moyenne': 936250}, {'name': 'Charlotte Gainsbourg', 'moyenne': 601736}]"
hotel normandy,77006.0,106429,,France,Comédie,2013-05-08,Tous publics,Studiocanal,,,0,1,13.0,,,13232,,4871,hotel normandy,,,Comédie,2013,f25,77006,268,287,72  %,cinema/images/posters/13232-20130323110324.jpg,,08/05/2013,Studiocanal,Tous publics,,
diamant 13,76735.0,96432,,France,Thriller,2009-01-21,Tous publics,MK2 Diffusion,,,0,1,11.0,Gérard Depardieu,,10540,,4879,diamant 13,,,Thriller,2009,f25,76735,297,258,80  %,cinema/images/posters/np_10540.jpg,,21/01/2009,MK2 Diffusion,Tous publics,"[{'id': '142', 'name': 'Gérard Depardieu', 'role': 'Rôle principal', 'character': 'Mat'}]","[{'name': 'Gérard Depardieu', 'moyenne': 1310040}]"
le sang des templiers,76828.0,109685,,Etats-Unis,Aventure - Action,2011-07-20,Moins de 12 ans,Metropolitan,,,0,2,12.0,,Paul Giamatti,11960,,4874,le sang des templiers,,,Aventure - Action,2011,f23,76828,114,674,70  %,cinema/images/posters/11960-20110718050717.jpg,,20/07/2011,Metropolitan,,"[{'id': '406', 'name': 'Paul Giamatti', 'role': 'Second rôle', 'character': 'Le Roi Jean'}]","[{'name': 'Paul Giamatti', 'moyenne': 537639}]"
your name.,77345.0,250859,,Japon,Animation,2016-12-28,Tous publics,Eurozoom,,,0,1,16.0,,,16307,,4856,your name.,,,Animation,2016,f34,77345,100,773,31  %,cinema/images/posters/16307-20161230024516-0.jpg,,28/12/2016,Eurozoom,Tous publics,,
yogi l'ours,76886.0,283519,,Etats-Unis,Film familial,2011-02-09,Tous publics,Warner Bros.,,,0,3,8.0,,,11631,,4873,yogi l'ours,,,Film familial,2011,f23,76886,370,208,27  %,cinema/images/posters/11631-20110101070137.jpg,,09/02/2011,Warner Bros.,Tous publics,"[{'id': '33', 'name': 'Dan Aykroyd', 'role': 'Voix-off', 'character': ""Yogi L'Ours""}, {'id': '945', 'name': 'Justin Timberlake', 'role': 'Voix-off', 'character': 'Booboo'}]","[{'name': 'Dan Aykroyd', 'moyenne': 714770}, {'name': 'Justin Timberlake', 'moyenne': 497985}]"
simple comme sylvain,77363.0,277961,,Canada,Comédie,2023-11-08,Tous publics,Memento Films,,,0,4,10.0,,,23299,,4854,simple comme sylvain,,,Comédie,2023,f14.png,77363,145,534,28  %,cinema/images/posters/A-2023-23299-20231109084455.jpg,,08/11/2023,Memento Films,Tous publics,,
finalement,77007.0,129475,Claude Lelouch,France,Comédie,2024-11-13,Tous publics,Metropolitan,,,0,2,9.0,Kad Merad,"Sandrine Bonnaire, Elsa Zylberstein",23999,84.0,4870,finalement,Finalement,Claude Lelouch,Comédie,2024,f25,77007,327,235,59  %,cinema/images/posters/A-2024-23999-20241109122047.jpg,960383.0,13/11/2024,Metropolitan,Tous publics,"[{'id': '462', 'name': 'Kad Merad', 'role': 'Rôle principal', 'character': 'Lino'}, {'id': '314', 'name': 'Sandrine Bonnaire', 'role': 'Second rôle', 'character': 'Sandrine'}, {'id': '923', 'name': 'Elsa Zylberstein', 'role': 'Second rôle', 'character': 'Léa'}]","[{'name': 'Kad Merad', 'moyenne': 1302807}, {'name': 'Sandrine Bonnaire', 'moyenne': 474840}, {'name': 'Elsa Zylberstein', 'moyenne': 352459}]"
