Titre,Démarrage,Entrées totales,Réalisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Rang toutes exploitations,Rang général,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire
heretic,90 358,193 623,,Canada,Horreur,27/11/2024,Moins de 12 ans,Le Pacte,9 598,9 651,0,3,7,Hugh Grant,
au bonheur des ogres,90 418,158 674,,France,Comédie,16/10/2013,Tous publics,Pathé,10 201,10 254,0,2,13,Bérénice Bejo,
la méthode williams,90 468,268 865,,Etats-Unis,Drame,01/12/2021,Tous publics,Warner Bros.,8 575,8 621,0,3,8,Will Smith,
invasion,90 547,150 651,,Etats-Unis,Thriller,17/10/2007,Tous publics,Warner Bros.,10 356,10 410,0,1,7,"Nicole Kidman, Daniel Craig",
relic,90 599,148 337,Peter Hyams,Etats-Unis,Aventure - Action,29/01/1997,Moins de 12 ans,Polygram,10 419,10 473,0,1,6,,
spy x family code: white,91 166,178 966,,Japon,Animation,17/04/2024,Tous publics,-,9 835,9 888,0,2,9,,
l'avocat du diable,90 708,278 680,Sidney Lumet,Etats-Unis,Thriller,08/09/1993,Tous publics,GBVI,8 473,8 519,0,4,8,,
les joueurs,90 742,145 456,,Etats-Unis,Drame,06/01/1999,Tous publics,Bac Films,10 489,10 543,0,3,7,"Matt Damon, Famke Janssen, Edward Norton",
open water en eaux profondes,91 622,151 808,,Etats-Unis,Horreur,11/08/2004,Tous publics,Metropolitan,10 330,10 384,0,1,11,,
chéri,90 899,184 435,Stephen Frears,Grande-Bretagne,Romance,08/04/2009,Tous publics,Pathé,9 738,9 790,0,2,13,Michelle Pfeiffer,
phénomènes paranormaux,90 911,171 307,,Etats-Unis,Thriller,28/07/2010,Moins de 12 ans,Metropolitan,9 978,10 030,0,3,9,Milla Jovovich,
c'est magnifique !,90 935,174 726,,France,Comédie dramatique,01/06/2022,Tous publics,UGC Distribution,9 911,9 963,0,4,3,"Clovis Cornillac, Alice Pol",
la confession,91 007,215 876,Nicolas Boukhrief,France,Drame,08/03/2017,Tous publics,SND,9 256,9 304,0,3,10,Romain Duris,
une chanson pour ma mère,91 129,131 606,,France,Comédie,27/03/2013,Tous publics,Walt Disney Pictures,10 811,10 867,0,1,10,"Sylvie Testud, Patrick Timsit",
pour l'honneur,91 813,176 047,,France,Comédie,03/05/2023,Tous publics,Apollo Films,9 894,9 947,0,3,7,,
central do brasil,91 212,583 524,Walter Salles,Brésil,Drame,02/12/1998,Tous publics,Mars Distribution,6 014,6 055,0,9,7,,
blood: the last vampire,91 831,165 248,,Chine,Aventure - Action,17/06/2009,Tous publics,Pathé,10 087,10 139,0,2,6,,
ne te retourne pas,91 627,182 000,,France,Thriller,03/06/2009,Tous publics,Wild Bunch,9 794,9 847,0,2,10,"Monica Bellucci, Sophie Marceau",
le voyage de ricky,92 127,620 015,,Belgique,Animation,07/02/2018,Tous publics,Paradis Films,5 796,5 838,0,6,9,,
vers un avenir radieux,91 786,208 753,Nanni Moretti,Italie,Comédie dramatique,28/06/2023,Tous publics,Le Pacte,9 342,9 392,0,3,8,,Mathieu Amalric
l'immensita,91 906,206 497,,Italie,Drame,11/01/2023,Tous publics,Pathé,9 372,9 422,0,3,5,Penelope Cruz,
le dernier roi d'ecosse,92 000,334 890,,Grande-Bretagne,Drame,14/02/2007,Moins de 12 ans,20th Century Fox,7 860,7 906,0,1,12,"James McAvoy, Forest Whitaker",
hacker,92 018,144 413,Michael Mann,Etats-Unis,Thriller,18/03/2015,Tous publics,Universal,10 505,10 559,0,1,15,"Viola Davis, Chris Hemsworth",
un pont entre deux rives,92 021,270 865,,France,Drame,07/04/1999,Tous publics,Pathé,8 542,8 588,0,2,9,"Charles Berling, Carole Bouquet, Gérard Depardieu",Mélanie Laurent
tout de suite maintenant,92 025,176 158,,France,Drame,22/06/2016,Tous publics,Ad vitam,9 892,9 945,0,2,8,"Isabelle Huppert, Vincent Lacoste, Christophe Lambert",
"hs, hors service",92 037,139 219,,France,Comédie,13/06/2001,Tous publics,Océan Films,10 636,10 691,0,2,6,"François Berléand, Lambert Wilson",Lorant Deutsch
7 psychopathes,92 089,146 774,,Etats-Unis,Comédie,30/01/2013,Tous publics,Wild Side,10 454,10 508,0,2,10,"Colin Farrell, Woody Harrelson, Sam Rockwell",Christopher Walken
steve jobs,92 271,167 868,Danny Boyle,Etats-Unis,Drame,03/02/2016,Tous publics,Universal,10 040,10 093,0,1,13,"Michael Fassbender, Seth Rogen, Kate Winslet",Jeff Daniels
"lust, caution",92 291,193 868,Ang Lee,Chine,Romance,16/01/2008,Moins de 12 ans,UGC Distribution,9 593,9 646,0,1,7,,
les hommes du feu,92 357,200 337,Pierre Jolivet,France,Drame,05/07/2017,Tous publics,Studiocanal,9 487,9 538,0,2,7,"Emilie Dequenne, Roschdy Zem",
bébés,93 296,259 268,,France,Documentaire,16/06/2010,Tous publics,Studiocanal,8 695,8 741,0,3,7,,
don juan demarco,92 364,620 534,,Etats-Unis,Comédie,14/06/1995,Tous publics,Ciby Distribution,5 793,5 835,0,7,3,"Marlon Brando, Johnny Depp",
firelight,92 425,303 646,,Grande-Bretagne,Drame,27/05/1998,Tous publics,Eurozoom,8 165,8 211,0,2,7,Sophie Marceau,
the host,93 357,159 439,,Corée du Sud,Aventure - Action,22/11/2006,Tous publics,Océan Films,10 189,10 242,0,1,9,,
dark blue,92 821,151 161,,Etats-Unis,Thriller,20/08/2003,Tous publics,Metropolitan,10 345,10 399,0,2,7,Kurt Russell,Brendan Gleeson
divine mais dangereuse,92 944,152 750,,Etats-Unis,Comédie,05/09/2001,Tous publics,EuropaCorp,10 311,10 365,0,2,6,"Matt Dillon, Liv Tyler",
les recettes du bonheur,92 995,177 377,Lasse Hallstrom,Etats-Unis,Drame,10/09/2014,Tous publics,Metropolitan,9 866,9 919,0,2,8,Helen Mirren,Michel Blanc
