"Titre","URL","Démarrage","Entrées totales","Réalisateur","Producteur","Pays","Genre","Date de sortie","Classification","Distributeur","Rang toutes exploitations","Rang général","Rang 2008","Nb 1ère places hebdo","Nb semaines Top20","Meilleure place hebdo","Acteurs","Acteur principal","Acteur secondaire"
"disparitions","https://www.jpbox-office.com/fichfilm.php?id=1302&view=2","10 917","14 703","","","Grande-Bretagne","Thriller","23/03/2005","Distribué par Fabrique de films","Fabrique de films","HC","HC","","0","0","-","[{""name"": ""Antonio Banderas"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Emma Thompson"", ""role_type"": ""Rôle principal"", ""character"": """"}]","Antonio Banderas, Emma Thompson",""
"summertime","https://www.jpbox-office.com/fichfilm.php?id=12953&view=2","11 159","29 851","","","Etats-Unis","Drame","04/07/2012","Tous publics","KMBO","14 757","14 840","","0","0","-","","",""
"wallace & gromit : cœurs à modeler","https://www.jpbox-office.com/fichfilm.php?id=17535&view=2","11 036","27 773","Nick Park","","Grande-Bretagne","Animation","08/11/2017","Tous publics","Folimage","14 924","15 007","","0","0","-","[]","",""
"the road to guantanamo","https://www.jpbox-office.com/fichfilm.php?id=11186&view=2","11 039","24 190","Michael Winterbottom","","Grande-Bretagne","Documentaire","07/06/2006","Tous publics","CTV International","HC","HC","","0","0","-","[]","",""
"a ce soir","https://www.jpbox-office.com/fichfilm.php?id=959&view=2","11 051","20 441","","","France","Drame","14/09/2005","Distribué par Mars Distribution","Mars Distribution","HC","HC","","0","0","-","[{""name"": ""Sophie Marceau"", ""role_type"": ""Rôle principal"", ""character"": """"}]","Sophie Marceau",""
"la chouette en toque","https://www.jpbox-office.com/fichfilm.php?id=20835&view=2","11 185","29 732","","","Belgique","Animation","14/10/2020","Tous publics","Cinema Public","14 769","14 852","","0","0","-","","",""
"j'ai rencontré le diable","https://www.jpbox-office.com/fichfilm.php?id=11924&view=2","11 192","28 344","","","Corée du Sud","Thriller","06/07/2011","Moins de 16 ans","ARP Selection","14 880","14 963","","0","0","-","","",""
"pleasure","https://www.jpbox-office.com/fichfilm.php?id=21545&view=2","11 214","22 458","","","Suède","Drame","20/10/2021","Moins de 16 ans","The Jokers / Les Bookmakers","HC","HC","","0","0","-","","",""
"des poupées et des anges","https://www.jpbox-office.com/fichfilm.php?id=10257&view=2","11 093","16 049","","","France","Comédie dramatique","25/06/2008","Tous publics","Rezo Films","HC","HC","HC","0","0","-","[{""name"": ""Leïla Bekhti"", ""role_type"": ""Rôle principal"", ""character"": ""Lya""}, {""name"": ""Samy Nacéri"", ""role_type"": ""Second rôle"", ""character"": ""Le père""}, {""name"": ""Léa Seydoux"", ""role_type"": """", ""character"": ""Gisèle""}]","Leïla Bekhti","Samy Nacéri"
"azuro","https://www.jpbox-office.com/fichfilm.php?id=22831&view=2","11 228","20 440","","","France","Comédie dramatique","30/03/2022","Tous publics","Paname Distribution","HC","HC","","0","0","-","","",""
"bros","https://www.jpbox-office.com/fichfilm.php?id=22368&view=2","11 110","17 079","","","Etats-Unis","Romance","19/10/2022","Tous publics","Universal","HC","HC","","0","0","-","[]","",""
"o fantasma","https://www.jpbox-office.com/fichfilm.php?id=17910&view=2","11 267","33 607","","","Portugal","Drame","21/03/2001","Moins de 16 ans","Epicentre films","14 504","14 581","","0","0","-","","",""
"charlie's country","https://www.jpbox-office.com/fichfilm.php?id=14968&view=2","11 273","45 794","","","Australie","Drame","17/12/2014","Tous publics","Nour Films","13 832","13 907","","0","0","-","","",""
"paris la blanche","https://www.jpbox-office.com/fichfilm.php?id=17091&view=2","11 281","25 427","","","France","Drame","29/03/2017","Tous publics","ARP Selection","15 108","15 193","","0","0","-","","",""
"goodbye julia","https://www.jpbox-office.com/fichfilm.php?id=23413&view=2","11 314","28 219","","","Suède","Drame","08/11/2023","Tous publics","ARP Selection","14 887","14 970","","0","0","-","","",""
"simon konianski","https://www.jpbox-office.com/fichfilm.php?id=21619&view=2","11 315","21 124","","","Belgique","Comédie","29/07/2009","Tous publics","Haut et Court","HC","HC","","0","1","20","","",""
"le quatuor","https://www.jpbox-office.com/fichfilm.php?id=13106&view=2","11 167","33 175","","","Etats-Unis","Drame","10/07/2013","Tous publics","Metropolitan","14 534","14 613","","0","0","-","[{""name"": ""Philip Seymour Hoffman"", ""role_type"": ""Rôle principal"", ""character"": ""Robert""}, {""name"": ""Christopher Walken"", ""role_type"": ""Rôle principal"", ""character"": ""Peter Mitchell""}]","Philip Seymour Hoffman, Christopher Walken",""
"history boys","https://www.jpbox-office.com/fichfilm.php?id=583&view=2","11 333","15 085","","","Etats-Unis","Comédie","17/01/2007","Tous publics","20th Century Fox","HC","HC","","0","0","-","","",""
"mes provinciales","https://www.jpbox-office.com/fichfilm.php?id=18061&view=2","11 365","37 354","","","France","Comédie dramatique","18/04/2018","Tous publics","ARP Selection","14 267","14 342","","0","0","-","","",""
"passages","https://www.jpbox-office.com/fichfilm.php?id=22989&view=2","11 227","18 224","","","France","Drame","28/06/2023","Tous publics","SBS Distribution","HC","HC","","0","0","-","[{""name"": ""Adèle Exarchopoulos"", ""role_type"": ""Rôle principal"", ""character"": ""Agathe""}]","Adèle Exarchopoulos",""
"seconde jeunesse","https://www.jpbox-office.com/fichfilm.php?id=23165&view=2","11 387","28 111","","","Italie","Comédie dramatique","16/08/2023","Tous publics","Le Pacte","14 898","14 981","","0","0","-","","",""
"fausta","https://www.jpbox-office.com/fichfilm.php?id=11733&view=2","11 403","35 331","","","Pérou","Drame","17/06/2009","Tous publics","Jour2Fête","14 399","14 474","","0","0","-","","",""
"miele","https://www.jpbox-office.com/fichfilm.php?id=13790&view=2","11 416","28 642","","","France","Drame","25/09/2013","Tous publics","Jour2Fête","14 853","14 936","","0","0","-","","",""
