Titre,Démarrage,Entrées totales,Réalisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Rang toutes exploitations,Rang général,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire
kin - le commencement,198034,353453,,Etats-Unis,Science Fiction,2018-08-29,Tous publics,SND,,,0,3,5,,"James Franco, Dennis Quaid"
spotlight,198197,616158,,Etats-Unis,Drame,2016-01-27,Tous publics,Warner Bros.,,,0,6,5,"Michael Keaton, Mark Ruffalo",Liev Schreiber
la chambre des officiers,198226,717356,,France,Drame,2001-09-26,Tous publics,ARP Selection,,,0,4,4,Denis Podalydès,"Sabine Azéma, André Dussollier"
mes très chers enfants,198247,642557,,France,Comédie,2021-12-15,Tous publics,UGC Distribution,,,0,5,4,"Josiane Balasko, Didier Bourdon",
black storm,198291,322887,,Etats-Unis,Catastrophe,2014-08-13,Tous publics,Warner Bros.,,,0,2,7,,
effets secondaires,198310,485823,Steven Soderbergh,Etats-Unis,Thriller,2013-04-03,Tous publics,ARP Selection,,,0,4,3,"Channing Tatum, Jude Law, Rooney Mara, Catherine Zeta Jones",
rollerball (2002),198744,314076,John McTiernan,Etats-Unis,Aventure - Action,2002-03-13,Moins de 12 ans,Columbia,,,0,3,8,Jean Reno,
débarquement immédiat,199812,393119,Phlippe de Chauveron,France,Comédie,2016-07-13,Tous publics,UGC Distribution,,,0,4,5,,
sunshine (2007),199823,366676,Danny Boyle,Grande-Bretagne,Science Fiction,2007-04-11,Tous publics,20th Century Fox,,,0,2,4,"Rose Byrne, Cillian Murphy",Chris Evans
gnoméo & juliette,199928,641293,,Etats-Unis,Animation,2011-02-16,Tous publics,Walt Disney Pictures,,,0,4,10,,
la guerre des lulus,200047,365251,,France,Film familial,2023-01-18,Tous publics,Wild Bunch,,,0,3,3,,"Didier Bourdon, Isabelle Carré, François Damiens, Ahmed Sylla"
la planète bleue,200742,810656,,Grande-Bretagne,Documentaire,2004-02-04,Tous publics,Bac Films,,,0,5,7,,
les beaux jours,200245,472201,,France,Comédie dramatique,2013-06-19,Tous publics,Le Pacte,,,0,6,3,"Fanny Ardant, Laurent Lafitte",
le siffleur,200279,436547,,France,Comédie,2010-01-06,Tous publics,EuropaCorp,,,0,4,2,"François Berléand, Thierry Lhermitte",Virginie Efira
mammuth,200405,833473,,France,Comédie,2010-04-21,Tous publics,Ad vitam,,,0,8,5,"Gérard Depardieu, Yolande Moreau",Isabelle Adjani
supergrave,200505,326338,,Etats-Unis,Comédie,2007-10-31,Tous publics,Sony Pictures,,,0,1,6,"Jonah Hill, Seth Rogen",Emma Stone
the mortal instruments : la cité des ténèbres,200641,380366,,Etats-Unis,Fantasy,2013-10-16,Tous publics,UGC Distribution,,,0,3,8,Jonathan Rhys Meyers,
babel,200643,744019,Alejandro González Iñárritu,Etats-Unis,Drame,2006-11-15,Tous publics,Mars Distribution,,,0,4,4,"Cate Blanchett, Gael Garcia Bernal, Brad Pitt",
mylène farmer : nevermore,201982,201982,,France,Musical,2024-11-07,Tous publics,Pathé,,,0,1,7,,
secret défense (2008),200972,590209,,France,Thriller,2008-12-10,Tous publics,UGC Distribution,,,0,4,5,Gérard Lanvin,
solaris,200983,445039,Steven Soderbergh,Etats-Unis,Science Fiction,2003-02-19,Tous publics,UFD,,,0,4,8,George Clooney,Viola Davis
mauvaises herbes,201117,403427,,France,Comédie,2018-11-21,Tous publics,Mars Distribution,,,0,3,4,"Catherine Deneuve, André Dussollier",
calculs meurtriers,201857,458062,Barbet Schroeder,Etats-Unis,Thriller,2002-06-05,Tous publics,Warner Bros.,,,0,4,3,"Sandra Bullock, Ryan Gosling",
john wick 2,201953,335241,,Etats-Unis,Aventure - Action,2017-02-22,Moins de 12 ans,Metropolitan,,,0,2,9,Keanu Reeves,Laurence Fishburne
"niko, le petit renne",203423,608852,,Finlande,Animation,2008-12-17,Tous publics,Bac Films,,,0,5,6,,
kill bill: volume 2,202201,1465940,Quentin Tarantino,Etats-Unis,Aventure - Action,2004-05-17,Moins de 12 ans,TFM Distribution,,,0,7,2,Uma Thurman,
le capital,202565,367784,Costa-Gavras,France,Drame,2012-11-14,Tous publics,Mars Distribution,,,0,3,4,Gad Elmaleh,Gabriel Byrne
cloud atlas,202952,439470,Wachowski (brothers),Etats-Unis,Science Fiction,2013-03-13,Tous publics,Warner Bros.,,,0,3,7,"Halle Berry, Tom Hanks","Hugh Grant, Susan Sarandon"
4 zéros,202962,361492,Fabien Onteniente,France,Comédie,2024-10-23,Tous publics,SND,,,0,3,6,"Didier Bourdon, Gérard Lanvin",
le bison (et sa voisine dorine),203090,572033,,France,Comédie,2003-06-04,Tous publics,Pathé,,,0,5,3,Edouard Baer,Valérie Bonneton
tempête de boulettes géantes,203296,646114,,Etats-Unis,Animation,2009-10-21,Tous publics,Sony Pictures,,,0,4,4,,
gods of egypt,203332,429177,Alex Proyas,Etats-Unis,Fantasy,2016-04-06,Tous publics,SND,,,0,3,5,Gerard Butler,"Chadwick Boseman, Geoffrey Rush"
avis de mistral,203504,442488,,France,Comédie dramatique,2014-04-02,Tous publics,Gaumont,,,0,4,3,Jean Reno,
ecole paternelle,203655,428890,,Etats-Unis,Film familial,2003-10-22,Tous publics,Columbia,,,0,3,8,Eddie Murphy,
mes héros,203694,626117,,France,Comédie,2012-12-12,Tous publics,Pathé,,,0,6,4,"Josiane Balasko, Clovis Cornillac, Gérard Jugnot",Pierre Richard
ghosts of mars,203781,409296,John Carpenter,Etats-Unis,Science Fiction,2001-11-21,Moins de 12 ans,CTV International,,,0,3,2,Ice Cube,Jason Statham
amour sur place ou à emporter,203801,412282,,France,Comédie,2014-05-28,Tous publics,Gaumont,,,0,4,5,,Fabrice Eboue
sinister,204017,414741,,Etats-Unis,Horreur,2012-11-07,Moins de 12 ans,Wild Bunch,,,0,4,9,Ethan Hawke,
comme les autres,204088,542705,,France,Comédie,2008-09-03,Tous publics,Mars Distribution,,,0,3,2,"Pascal Elbé, Lambert Wilson",
le 15:17 pour paris,204845,402662,Clint Eastwood,Etats-Unis,Thriller,2018-02-07,Tous publics,Warner Bros.,,,0,3,4,,
i feel good,204931,527324,,France,Comédie,2018-09-26,Tous publics,Ad vitam,,,0,5,3,"Jean Dujardin, Yolande Moreau",
"40 ans, toujours puceau",205065,407693,Judd Apatow,Etats-Unis,Comédie,2005-11-09,Tous publics,UIP,,,0,2,6,"Steve Carell, Paul Rudd",Seth Rogen
scandale,205082,393328,Jay Roach,Etats-Unis,Drame,2020-01-22,Tous publics,Metropolitan,,,0,3,4,"Nicole Kidman, Margot Robbie, Charlize Theron",
mon cousin,205217,356814,Jan Kounen,France,Comédie,2020-09-30,Tous publics,Pathé,,,1,3,1,"François Damiens, Vincent Lindon",
127 heures,205262,350268,Danny Boyle,Etats-Unis,Aventure - Action,2011-02-23,Tous publics,Pathé,,,0,2,11,James Franco,Clémence Poésy
kompromat,205447,603911,,France,Thriller,2022-09-07,Tous publics,SND,,,2,5,1,Gilles Lellouche,
paulette,206259,1035495,,France,Comédie,2013-01-16,Tous publics,Gaumont,,,0,7,3,,
